idx,gold_label,Sentence1,Sentence2,Explanation_1,Translated_Sentence1,Translation_Evaluation_Sentence1,Translated_Sentence2,Translation_Evaluation_Sentence2,Translated_Explanation_1,Translation_Evaluation_Explanation_1,Well-Written,Related,Factual,New Information,Unnecessary Information,Back_Sentence1,Back_Sentence2
15802,neutral,A little boy splashing in a blue inflatable pool.,The little boy was having fun splashing in the pool,Splashing in a pool does not imply he is having fun.,Ein kleiner Junge spritzt in einem blauen aufblasbaren Pool herum.,,Der kleine Junge hatte Spaß beim Planschen im Pool.,,,,,,,,,A little boy is splashing around in a blue inflatable pool.,The little boy had fun splashing in the pool.
226590,contradiction,The person wearing earrings is wearing a feathered hat.,The person is sleep without her earrings.,The person can either be wearing or not wearing earrings.,Die Person mit Ohrringen trägt einen gefiederten Hut.,,Die Person schläft ohne ihre Ohrringe.,,,,,,,,,The person with earrings is wearing a feathered hat.,The person is sleeping without her earrings.
29509,contradiction,A young man walks through Grand Central Station with his shadow cast by the light cascading down from the windows behind.,A man is waiting for a bus at the terminal.,"Waiting implies being still, not walking.  There are no buses at Grand Central Station.  Terminal is different from station.","Ein junger Mann geht durch den Grand Central Bahnhof, während sein Schatten von dem Licht geworfen wird, das von den Fenstern hinter ihm herabfließt.",,Ein Mann wartet am Terminal auf einen Bus.,,,,,,,,,A young man walks through Grand Central Station while his shadow is cast by the light that flows down from the windows behind him.,A man is waiting at the terminal for a bus.
135215,entailment,A man is swinging on a rope over water.,a man is swinging,A man is swinging is the same as a man is swinging,Ein Mann schwingt sich an einem Seil über Wasser.,,ein Mann schwingt sich,,,,,,,,,A man swings over water on a rope.,a man swings himself
107708,neutral,A young woman rests her head on a man's shoulder.,The man and woman are dating.,Resting her head may not imply that they are dating.,Eine junge Frau ruht ihren Kopf auf der Schulter eines Mannes.,,Der Mann und die Frau sind ein Paar.,,,,,,,,,A young woman rests her head on the shoulder of a man.,The man and the woman are a couple.
236116,contradiction,A crane operates amidst piles of rubble.,Gardeners tend to a flower bed.,A flower bed is not the same thing as piles of rubble.,Eine Kranmaschine arbeitet zwischen Haufen von Trümmern.,,Gärtner pflegen einen Blumenbeet.,,,,,,,,,A crane machine works between heaps of rubble.,Gardeners tend a flower bed.
175247,entailment,A woman is grating cheese.,A woman is grating cheese.,both sentences refer to the same woman grating cheese,Eine Frau reibt Käse.,,Eine Frau reibt Käse.,,,,,,,,,A woman is grating cheese.,A woman is grating cheese.
138445,contradiction,The boy in the red shirt is holding a rock.,The boy's red shoes are the only red thing he is wearing.,The boy cannot be wearing only one red thing if he is wearing a red shirt and red shoes.,Der Junge im roten Hemd hält einen Stein.,,"Die roten Schuhe des Jungen sind das einzige Rote, was er trägt.",,,,,,,,,The boy in the red shirt is holding a stone.,The boy's red shoes are the only red thing he wears.
84497,entailment,A kicker launches the football forward while the holder checks his fingers.,kicker kicks ball,A kicker launches the football forward definitely kicks the ball.,"Ein Kicker setzt den Fußball nach vorne, während der Halter seine Finger überprüft.",,Kicker kickt Ball,,,,,,,,,A kicker kicks the soccer ball forward while the goalkeeper checks his fingers.,Kicker kicks ball
163452,contradiction,A man with tattoos and the Confederate flag is standing with his hands in his pants pockets.,a man with a confederate flag has no tattoos,A person can't be said to have tattoos and no tattoos at the same time.,Ein Mann mit Tattoos und der Konföderiertenflagge steht mit den Händen in den Hosentaschen.,,Ein Mann mit einer Konföderiertenflagge hat keine Tattoos.,,,,,,,,,A man with tattoos and the Confederate flag stands with his hands in his pockets.,A man with a Confederate flag has no tattoos.
52815,contradiction,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,The women are cooking dinner inside.,Snow happens outside while dinner happens inside.,Zwei Frauen stehen im Schnee und blicken auf einen Turm mit einem orangefarbenen kegelförmigen Licht.,,Die Frauen kochen das Abendessen drinnen.,,,,,,,,,Two women stand in the snow and look at a tower with an orange conical light.,The women cook dinner inside.
39982,neutral,Children playing on a playground.,The children are playing on the swings in the playground.,Not all children playing on a playground are playing on the swings.,Kinder spielen auf einem Spielplatz.,,Die Kinder spielen auf den Schaukeln im Spielplatz.,,,,,,,,,Children play on a playground.,The children are playing on the swings at the playground.
68890,neutral,A man in a tuxedo plays a brass instrument in accompaniment with a female piano player.,The couple are playing a jazz tune.,A man with a brass instrument and a female piano player aren't restricted to being able to play a jazz tune only.,Ein Mann im Smoking spielt ein Blechblasinstrument als Begleitung zu einer weiblichen Pianistin.,,Das Paar spielt einen Jazz-Titel.,,,,,,,,,A man in a tuxedo plays a brass instrument as accompaniment to a female pianist.,The couple is playing a jazz tune.
88381,entailment,A woman wearing a red blouse and a short is standing looking far ahead,Her gaze goes off into the distance.,When a woman is looking far ahead her gaze goes off into the distance.,Eine Frau in einem roten Blusen und Shorts steht und schaut weit nach vorn.,,Ihr Blick geht in die Ferne.,,,,,,,,,A woman in a red blouse and shorts stands and looks far ahead.,Her gaze goes into the distance.
234214,entailment,Three people are being silly in the woods.,three people are in the woods,If there are three people being silly they can be in the woods.,Drei Menschen verhalten sich albern im Wald.,,Drei Menschen sind im Wald.,,,,,,,,,Three people behave foolishly in the forest.,Three people are in the forest.
249176,entailment,a young man wearing a blue striped shirt standing in front of a floral patterened couch,A person stands before a piece of furniture.,That a person stands before a piece of furniture is a short version of a young man wearing a blue shirt is standing in front of a floral patterened couch,"ein junger Mann mit einem blau gestreiften Hemd, der vor einer blumenbedruckten Couch steht",,Eine Person steht vor einem Möbelstück.,,,,,,,,,"a young man with a blue striped shirt, standing in front of a flower-patterned couch",A person is standing in front of a piece of furniture.
216873,contradiction,Two men and a woman walking together.,Two girls and three men are running together.,Woman and men are different.,Zwei Männer und eine Frau gehen zusammen spazieren.,,Zwei Mädchen und drei Männer laufen zusammen.,,,,,,,,,Two men and a woman are walking together.,Two girls and three men are running together.
130979,contradiction,A man standing on a green post watching a train go by.,A man is watching a bus,A bus and a train are different modes of transportation.,Ein Mann steht auf einem grünen Pfosten und beobachtet einen vorbeifahrenden Zug.,,Ein Mann beobachtet einen Bus.,,,,,,,,,A man stands on a green post and watches a passing train.,A man is watching a bus.
255252,entailment,A girl sitting on a trampoline tossing a water bottle in the air,The girl is playing on a trampoline,trampoline tossing a water refers to playing on a trampoline,Ein Mädchen sitzt auf einem Trampolin und wirft eine Wasserflasche in die Luft.,,Das Mädchen spielt auf einem Trampolin.,,,,,,,,,A girl is sitting on a trampoline and throwing a water bottle into the air.,The girl is playing on a trampoline.
68855,entailment,A baseball player in mid-swing.,A baseball player in swing.,The player swings.,Ein Baseballspieler im Schwung.,,Ein Baseballspieler im Schwung.,,,,,,,,,A baseball player in the swing.,A baseball player in the swing.
77464,entailment,Two men in safety harnesses work together.,Two men are co-workers.,Men are co-workers so they will be working together.,Zwei Männer mit Sicherheitsgeschirr arbeiten zusammen.,,Zwei Männer sind Kollegen.,,,,,,,,,Two men with safety gear are working together.,Two men are colleagues.
79442,contradiction,five little boys playing soccer.,The boys are playing basketball,Soccer and basketball are two different sports.,"fünf kleine Jungen, die Fußball spielen.",,Die Jungen spielen Basketball.,,,,,,,,,five little boys playing football.,The boys are playing basketball.
206605,entailment,A woman and her daughter seated at a table in the library reading a book together.,Two females rest in a library.,A woman and daughter constitute two females. Being seated at a table is resting.,Eine Frau und ihre Tochter sitzen an einem Tisch in der Bibliothek und lesen gemeinsam ein Buch.,,Zwei weibliche Personen ruhen sich in einer Bibliothek aus.,,,,,,,,,A woman and her daughter are sitting at a table in the library and reading a book together.,Two female individuals are resting in a library.
232037,entailment,The teenagers are fighting over a basketball during a game.,Some kids playing a sport.,"Teenagers are kids, and basketball is a sport.",Die Teenager kämpfen während eines Spiels um einen Basketball.,,"Einige Kinder, die eine Sportart spielen.",,,,,,,,,The teenagers fight over a basketball during a game.,Some children who play a sport.
7685,neutral,A boy getting his hair buzzed off by another boy.,A boy getting a haircut because he has gum in his hair.,You can get a haircut for other reasons then having gum in your hair,Ein Junge lässt sich von einem anderen Jungen die Haare rasieren.,,"Ein Junge bekommt eine Frisur, weil er Kaugummi in den Haaren hat.",,,,,,,,,A boy lets another boy shave his hair.,A boy gets a haircut because he has chewing gum in his hair.
181540,entailment,A man with stretched earlobes wearing a black hat stands in front of a display of food for sale.,A man is standing in front of a food display.,Standing is a rephrasing of stands.,"Ein Mann mit gestreckten Ohrläppchen, der eine schwarze Mütze trägt, steht vor einer Auslage mit zum Verkauf angebotenen Lebensmitteln.",,Ein Mann steht vor einer Lebensmittelvitrine.,,,,,,,,,"A man with stretched earlobes, wearing a black cap, stands in front of a display of food items for sale.",A man stands in front of a food display case.
88734,entailment,Man in an orange shirt with tattoos walking two large poodles.,The man's shirt is orange.,there is a man in orange shirt,"Mann in einem orangefarbenen Hemd mit Tattoos, der zwei große Pudel spazieren führt.",,Das Hemd des Mannes ist orange.,,,,,,,,,Man in an orange shirt with tattoos walking two large poodles.,The man's shirt is orange.
98887,contradiction,Some kind of convention with booths set up and many people wearing tuxedos.,People at the movies,Conventions are different then a movies,Einige Art von Konvention mit aufgestellten Ständen und vielen Menschen in Smoking gekleidet.,,Menschen im Kino,,,,,,,,,Some kind of convention with set up booths and many people dressed in tuxedos.,People in the cinema
208564,neutral,two women are sitting on a park bench talking to each other.,the child is black,The two women may not have a child.,Zwei Frauen sitzen auf einer Parkbank und unterhalten sich miteinander.,,Das Kind ist schwarz.,,,,,,,,,Two women are sitting on a park bench and talking to each other.,The child is black.
131535,entailment,A male on Rollerblades skating down a railing next to stairs.,A guy does a rollerblading trick.,a guy does rollerblading trick is a rephrasing of male on rollerblades skating,Ein Mann auf Inline-Skates fährt an einer Treppe entlang einen Geländer hinunter.,,Ein Kerl macht einen Inline-Skating-Trick.,,,,,,,,,A man on inline skates rides down a railing along a staircase.,A guy performs an inline skating trick.
71448,entailment,Young boy with a white shirt and jeans singing into a microphone with three other boys in the background.,A young boy is singing,He is singing.,"Junger Junge mit einem weißen Hemd und Jeans singt in ein Mikrofon, während drei andere Jungen im Hintergrund stehen.",,Ein junger Junge singt.,,,,,,,,,"Young boy with a white shirt and jeans sings into a microphone, while three other boys stand in the background.",A young boy sings.
109905,contradiction,"Three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike.",The three women hike.,Two males and a female is not the same as three women.,"Drei Personen, zwei Männer und eine Frau, sitzen während einer Rast von einem Wanderung auf dem Boden vor einem hohen Baum.",,Die drei Frauen wandern.,,,,,,,,,"Three people, two men and one woman, are sitting on the ground in front of a tall tree during a break from hiking.",The three women are hiking.
7251,neutral,A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets.,After a game a man wearing an Alaska shirt and baseball cap is buying scratchers to win money,A man doesn't necessarily have to buy the scratchers to win lottery.,"Ein Mann, der ein Alaska-Sweatshirt und eine Baseballkappe trägt, kauft Lottoscheine.",,"Nach einem Spiel kauft ein Mann, der ein Alaskahemd und eine Baseballkappe trägt, Scratchcards, um Geld zu gewinnen.",,,,,,,,,A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets.,"After a game, a man wearing an Alaskan shirt and a baseball cap buys scratch cards to win money."
122333,neutral,A woman with long dark hair sitting with her legs crossed.,"The long-haired woman is relaxing, enjoying her rest","It cannot be inferred from sentence 1 that the woman is relaxing, enjoying her rest.",Eine Frau mit langen dunklen Haaren sitzt mit verschränkten Beinen.,,Die langhaarige Frau entspannt sich und genießt ihre Ruhepause.,,,,,,,,,A woman with long dark hair is sitting with her legs crossed.,The long-haired woman relaxes and enjoys her break.
125778,contradiction,"Kite surfers are surfing in a shipping harbor on a clear windy day, in the background is a snowcapped mountain.",There is only one person present.,If only one person is present then surfers cannot be present also.,"Kitesurfer fahren in einem Schifffahrthafen an einem klaren, windigen Tag, im Hintergrund ist ein schneebedeckter Berg.",,Es ist nur eine Person anwesend.,,,,,,,,,"Kitesurfers ride in a shipping harbor on a clear, windy day, with a snow-covered mountain in the background.",Only one person is present.
236230,neutral,"American soldiers play in a marching band with drums labeled Fort Lewis, Washington.",Some men in uniform are playing in a marching band,Not all American soldiers are men in uniform. They could be women.,"Amerikanische Soldaten spielen in einer Marschmusik mit Trommeln, die mit ""Fort Lewis, Washington"" beschriftet sind.",,Einige Männer in Uniform spielen in einer Marschkapelle.,,,,,,,,,"American soldiers play in a marching band with drums labeled ""Fort Lewis, Washington.""",Some men in uniform play in a marching band.
249384,contradiction,One dog with an object in its mouth is met by another dog nearby a fence.,One dog lies napping next to another dog in a field.,A dog cannot be napping with an object in its mouth simultaneously.,Ein Hund mit einem Objekt im Maul wird von einem anderen Hund in der Nähe eines Zauns begrüßt.,,Ein Hund liegt neben einem anderen Hund auf einer Wiese und schläft.,,,,,,,,,A dog with an object in its mouth is greeted by another dog near a fence.,A dog is lying next to another dog on a meadow and sleeping.
233391,contradiction,Lots of people in different costumes at some kind of party.,There are lots of people who are wishing they were at a party.,"If people are wishing they were at a party, they are not at some kind of party, but rather doing something else.",Viele Menschen in verschiedenen Kostümen bei irgendeiner Art von Party.,,"Es gibt viele Menschen, die sich wünschen würden, auf einer Party zu sein.",,,,,,,,,Many people in various costumes at some kind of party.,There are many people who would wish to be at a party.
138287,contradiction,A naked woman with pink hair and tattoos is standing in a crowd in front of a cloth barrier.,A naked woman with blue hair and tattoos is sitting in a crowd behind a cloth barrier.,Pink is not blue. Standing is not sitting. In front is not behind.,Eine nackte Frau mit rosa Haaren und Tattoos steht in einer Menschenmenge vor einem Stoffzaun.,,Eine nackte Frau mit blauen Haaren und Tattoos sitzt hinter einem Stoffzaun in einer Menschenmenge.,,,,,,,,,A naked woman with pink hair and tattoos stands in a crowd in front of a cloth fence.,A naked woman with blue hair and tattoos sits behind a cloth fence in a crowd of people.
208583,neutral,An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,A person is making a chocolate cake.,Someone can use a mixing bowl for something other than making a chocolate cake.,"Eine ältere Dame in einem schwarzen Hemd fügt Zutaten zu einer Küchenmaschenschüssel hinzu, während eine Menschenmenge zuschaut.",,Eine Person backt einen Schokoladenkuchen.,,,,,,,,,An older lady in a black shirt is adding ingredients to a food processor bowl while a crowd watches.,A person is baking a chocolate cake.
65254,contradiction,Man playing a tune on his flute.,A man is playing a trumpet.,Flute is not a trumpet.,Ein Mann spielt eine Melodie auf seiner Flöte.,,Ein Mann spielt eine Trompete.,,,,,,,,,A man plays a melody on his flute.,A man is playing a trumpet.
204548,contradiction,Two women with stethoscopes and a man with a blue hairnet on working tedious over an unknown object or person.,The women are wearing crosses.,"If someone is wearing a stethoscope, they are likely at work and not wearing jewelry, such as crosses.",Zwei Frauen mit Stethoskopen und ein Mann mit einer blauen Haarnetz auf arbeiten mühsam an einem unbekannten Objekt oder einer unbekannten Person.,,Die Frauen tragen Kreuze.,,,,,,,,,Two women with stethoscopes and a man with a blue hairnet are laboriously working on an unknown object or an unknown person.,The women wear crosses.
125263,contradiction,Hispanic man holding a very large basket while standing in the street.,A man is playing an instrument.,Holding something is different than playing something,"Ein hispanischer Mann hält einen sehr großen Korb, während er auf der Straße steht.",,Ein Mann spielt ein Instrument.,,,,,,,,,A Hispanic man is holding a very large basket while standing on the street.,A man is playing an instrument.
55181,entailment,A dirt dog runs down a muddy shore.,A dog is running down the shore.,A dog being on the shore implies that he is muddy.,Ein schmutziger Hund rennt einen schlammigen Ufer entlang.,,Ein Hund rennt am Ufer entlang.,,,,,,,,,A dirty dog runs along a muddy shore.,A dog runs along the shore.
161214,contradiction,A woman is looking on the food she kept in the glass box.,The woman is cleaning,cleaning is different from looking on the food,"Eine Frau schaut auf das Essen, das sie in der Glasbox aufbewahrt hat.",,Die Frau putzt.,,,,,,,,,A woman looks at the food she has stored in the glass box.,The woman is cleaning.
162510,neutral,"A group of people are standing outside at a carnival, near a ride called the Green Jungle.",They are preparing to take the ride.,Standing near a ride does not mean they are preparing to take the ride.,"Eine Gruppe von Menschen steht draußen auf einem Jahrmarkt, in der Nähe einer Fahrt namens Grüner Dschungel.",,"Sie bereiten sich darauf vor, die Fahrt zu unternehmen.",,,,,,,,,"A group of people is standing outside at a fair, near a ride called Green Jungle.",They are preparing to undertake the journey.
178297,neutral,A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.,A young girl is picking out her favorite fabric.,That a girl is surrounded by fabrics doesn´t mean she is picking out her favorite fabric.,"Ein junges Mädchen sitzt auf einem kleinen Stuhl, umgeben von dem, was wie handgemachte Stoffe und Taschen aussieht.",,Ein junges Mädchen wählt ihren Lieblingsstoff aus.,,,,,,,,,"A young girl sits on a small chair, surrounded by what looks like handmade fabrics and bags.",A young girl chooses her favorite fabric.
52821,entailment,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,A tower shines its orange light.,Two women looking towards a orange light tower in snow,Zwei Frauen stehen im Schnee und blicken auf einen Turm mit einem orangefarbenen kegelförmigen Licht.,,Ein Turm strahlt sein orangefarbenes Licht aus.,,,,,,,,,Two women stand in the snow and look at a tower with an orange conical light.,A tower radiates its orange light.
105089,contradiction,Female performers wearing white stage makeup and costumes with a dark background.,fish sleeps,The subjects can be either female performers or a fish that sleeps.,Weibliche Darstellerinnen mit weißem Bühnenmake-up und Kostümen vor einem dunklen Hintergrund.,,Der Fisch schläft.,,,,,,,,,Female performers with white stage makeup and costumes against a dark background.,The fish is sleeping.
123953,neutral,Walkers at an event in a park.,People are walking to raise money for charity,"Just because people are walking in a park for an event, it doesn't mean that they are raising money for charity.",Wanderer bei einem Event im Park.,,"Menschen gehen spazieren, um Geld für eine Wohltätigkeitsorganisation zu sammeln.",,,,,,,,,Wanderer at an event in the park.,People go for walks to collect money for a charity organization.
87786,entailment,Two people making funny faces at each other.,Two people are facing each other,Not all the people are are facing are making funny faces,"Zwei Menschen, die lustige Gesichter zu einander machen.",,Zwei Menschen stehen sich gegenüber.,,,,,,,,,Two people making funny faces at each other.,Two people stand facing each other.
35043,entailment,Students sitting outside in a forest with books and pencils.,The students had their books and pencils ready as they sat outside in the forest.,Both say that the students say outside in the forest.,Studenten sitzen draußen im Wald mit Büchern und Bleistiften.,,"Die Schüler hatten ihre Bücher und Bleistifte bereit, als sie draußen im Wald saßen.",,,,,,,,,Students are sitting outside in the forest with books and pencils.,The students had their books and pencils ready when they were sitting outside in the forest.
96380,neutral,A man standing in the water.,The man is standing in a pool.,We don't know if the water is a pool.,Ein Mann steht im Wasser.,,Der Mann steht in einem Pool.,,,,,,,,,A man is standing in the water.,The man is standing in a pool.
35325,entailment,A woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack.,A woman and a man are clothed.,Wearing a coat is being clothed.,"Eine Frau mit einem schwarzen Mantel und Sonnenbrille steht vor einem Mann, der mit einem Rucksack weggeht.",,Eine Frau und ein Mann sind bekleidet.,,,,,,,,,A woman wearing a black coat and sunglasses stands in front of a man who is walking away with a backpack.,A woman and a man are dressed.
130796,neutral,A little boy is playing on a playground rocking toy.,a young blonde boy plays outside,NOT ALL BOYS ARE BLONDE AND HE MAY NOT BE PLAYING OUTSIDE ON THE TOY.,Ein kleiner Junge spielt auf einem Wippspielplatzgerät.,,ein junger blondhaariger Junge spielt draußen,,,,,,,,,A little boy is playing on a seesaw playground equipment.,a young blonde-haired boy is playing outside
196835,contradiction,A man plays guitar in an outside theater.,A man is scuba diving at the reef.,Someone playing guitar is not a scuba diver.,Ein Mann spielt Gitarre in einem Freilichttheater.,,Ein Mann taucht mit Atemgerät am Riff.,,,,,,,,,A man is playing the guitar in an open-air theater.,A man dives with a breathing apparatus at the reef.
215973,neutral,A woman stands on the curb next to a busy street.,the woman is white,Not all women are white.,Eine Frau steht am Straßenrand neben einer belebten Straße.,,die Frau ist weiß,,,,,,,,,A woman stands at the roadside next to a busy street.,The woman is white.
156466,neutral,Two men in a kitchen holding an object.,There are men making cupcakes.,The object not necessarily be cupcakes,Zwei Männer in einer Küche halten ein Objekt.,,"Es gibt Männer, die Cupcakes backen.",,,,,,,,,Two men in a kitchen are holding an object.,There are men who bake cupcakes.
99592,neutral,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",people are racing in a st paddys day marathon,It cannot be inferred that the people are racing in a marathon.,"Läufer, einige in Kostümen, nehmen an einem St. Patrick’s Day-Marathon teil und laufen durch die Straßen, während Menschen zuschauen.",,Menschen nehmen an einem Marathon zum St. Patrick's Day teil.,,,,,,,,,"Runners, some in costumes, participate in a St. Patrick's Day marathon and run through the streets while people watch.",People participate in a marathon on St. Patrick's Day.
178200,neutral,People look upon a monument where a speed is being given.,People at a national monument,The monument doesn't have to be a national monument.,"Menschen betrachten ein Denkmal, wo eine Geschwindigkeit angegeben wird.",,Menschen an einem Nationaldenkmal,,,,,,,,,People are looking at a monument where a speed is indicated.,People at a national monument
248966,entailment,Two people converse in the middle of beautiful apartment buildings.,A couple of people are talking around some buildings.,"If you converse with someone then you are, by definition, talking to them.",Zwei Menschen unterhalten sich in der Mitte von schönen Wohngebäuden.,,Ein paar Leute unterhalten sich um einige Gebäude herum.,,,,,,,,,Two people are talking in the middle of beautiful residential buildings.,A few people are talking around some buildings.
56595,contradiction,A small child in a blue outfit is looking off at some trees in the distance.,A small child in red outfit looks at the cat in front of him.,The child can either be wearing a blue outfit or a red outfit. The child can either be looking at some trees in the distance or at the cat in front of him.,Ein kleines Kind in blauer Kleidung schaut zu einigen Bäumen in der Ferne.,,Ein kleines Kind in roter Kleidung schaut auf die Katze vor ihm.,,,,,,,,,A small child in blue clothing looks at some trees in the distance.,A small child in red clothing looks at the cat in front of him.
141812,neutral,A man stands looking out to sea on a raised platform between two large columns that hold a huge bell,There is a man on a watchtower.,A raised platform doesn't necessarily mean watchtower.,Ein Mann steht auf einer erhöhten Plattform zwischen zwei großen Säulen und blickt auf das Meer hinaus; die Säulen halten eine riesige Glocke.,,Es gibt einen Mann auf einem Wachturm.,,,,,,,,,A man stands on an elevated platform between two large columns and looks out to sea; the columns hold a huge bell.,There is a man on a watchtower.
94137,entailment,A man watching as one woman in a brown coat is talking to another woman in a gray coat.,Two women are talking,One woman talking to another woman indicates two women are talking.,"Ein Mann beobachtet, wie eine Frau in einem braunen Mantel mit einer anderen Frau in einem grauen Mantel spricht.",,Zwei Frauen unterhalten sich.,,,,,,,,,A man watches as a woman in a brown coat speaks with another woman in a gray coat.,Two women are talking to each other.
254365,neutral,"Two children, a boy and a girl, running across the dirt.",A brother and sister are running.,"Just because two children, a boy and a girl, running across the dirt doesn't necessarily mean that they are brother and sister.","Zwei Kinder, ein Junge und ein Mädchen, rennen über den Schlamm.",,Ein Bruder und eine Schwester laufen.,,,,,,,,,"Two children, a boy and a girl, run through the mud.",A brother and a sister are running.
158732,contradiction,A man in a green jacket plays a clown-themed carnival game while others watch.,The man is playing rock music.,Is he playing clown-themed carnival game or rock music,"Ein Mann in einer grünen Jacke spielt ein karnevalisches Spiel mit Clown-Motiv, während andere zuschauen.",,Der Mann spielt Rockmusik.,,,,,,,,,A man in a green jacket is playing a carnival game with a clown theme while others watch.,The man plays rock music.
173941,neutral,A boy poses for a picture and in the background a man is hanging by a rope.,The man has been lynched.,Hanging does not implicitly mean the man had been lynched.,Ein Junge posiert für ein Bild und im Hintergrund hängt ein Mann an einem Seil.,,Der Mann wurde gerichtet.,,,,,,,,,"A boy poses for a picture and in the background, a man hangs from a rope.",The man was judged.
51708,entailment,A group of men in jumpsuits walk along the dock of the Bumi Jaya.,Men walking along a dock.,walking is another form of walk.,Eine Gruppe von Männern in Overall geht entlang der Kaimauer des Bumi Jaya.,,Männer gehen entlang einer Kaimauer.,,,,,,,,,A group of men in overalls is walking along the quay wall of Bumi Jaya.,Men walk along a quay wall.
150543,entailment,Young brown children watching something on the internet.,Young children watching something on the internet.,THEY ARE ON THE INTERNET.,Junge braune Kinder schauen etwas im Internet.,,Kleine Kinder schauen etwas im Internet.,,,,,,,,,Young brown children are looking at something on the internet.,Small children are looking at something on the internet.
74224,contradiction,a violist playing next to an advertising sign,A violinist plays the flute next to an advertising sign.,A violist is not a violinist.,"ein Bratschenspieler, der neben einem Werbeschild spielt",,Ein Violinist spielt die Flöte neben einem Werbeschild.,,,,,,,,,a viola player playing next to an advertising sign,A violinist plays the flute next to an advertising sign.
96510,contradiction,A man with a tool belt talks to another man in a basement.,Two men are talking in the car.,Two men is more than one man. Cars aren't in basements.,Ein Mann mit einem Werkzeuggürtel spricht mit einem anderen Mann im Keller.,,Zwei Männer sprechen im Auto.,,,,,,,,,A man with a tool belt is talking to another man in the basement.,Two men are talking in the car.
198473,entailment,A man in a red jacket standing in a doorway.,A man wearing a jacket is in a doorway.,The man in the red jacket standing in the doorway must be the man wearing a jacket in the door way.,Ein Mann in einer roten Jacke steht in einem Türdurchgang.,,Ein Mann mit Jacke steht in einer Türöffnung.,,,,,,,,,A man in a red jacket is standing in a doorway.,A man wearing a jacket stands in a doorway.
189963,entailment,Two women sitting down next to a river.,A river with two women next to them.,"If the river was next to the women, then the women would be next to the river.",Zwei Frauen sitzen am Flussufer.,,Ein Fluss mit zwei Frauen daneben.,,,,,,,,,Two women are sitting by the riverside.,A river with two women beside it.
107168,neutral,A woman is excited and about to pop a bottle of wine as a young boy stands behind her looking quite anxious.,The boy thinks the woman is pretty.,You can look anxious and not think a woman is pretty.,"Eine Frau ist aufgeregt und kurz davor, eine Flasche Wein zu öffnen, während ein kleiner Junge hinter ihr steht und ziemlich besorgt aussieht.",,Der Junge findet die Frau hübsch.,,,,,,,,,"A woman is excited and about to open a bottle of wine, while a little boy stands behind her looking quite worried.",The boy finds the woman pretty.
173307,entailment,a young male playing with bubbled outside of a business,a young male is playing with bubbles,A male playing with bubbled must be playing with bubbles.,"ein junger Mann, der draußen vor einem Geschäft mit Blasen spielt",,ein junger Mann spielt mit Seifenblasen,,,,,,,,,a young man playing with bubbles outside a store,a young man plays with soap bubbles
60686,entailment,The wet dog leaped toward the basketball.,The dog leaped to the ball.,The dog leaped towards the basketball which is a type of ball.,Der nasse Hund sprang auf den Basketball zu.,,Der Hund sprang zu dem Ball.,,,,,,,,,The wet dog jumped towards the basketball.,The dog jumped to the ball.
109248,entailment,A bellhop is pushing a cart.,A person is pushing something,"In a both sentence,a person is pushing.",Ein Portier schiebt einen Wagen.,,Eine Person schiebt etwas.,,,,,,,,,A porter is pushing a cart.,A person is pushing something.
247049,entailment,A man wearing a red had that says NYC looks into the distance.,The man is wearing a souvenir from NYC.,"Sentence one states the man is wearing a red hat that says NYC Sentence two says the man is wearing a souvenir from NYC, this could be the red hat","Ein Mann mit einer roten Mütze, auf der NYC steht, blickt in die Ferne.",,Der Mann trägt ein Souvenir aus New York City.,,,,,,,,,A man wearing a red cap with NYC on it looks into the distance.,The man is wearing a souvenir from New York City.
92202,neutral,Five guys burying themselves in the sand with a dog behind them.,Five guys burying themselves in the sand with a black and white dog behind them.,There is no indication that the dog is black and white.,Fünf Kerle begraben sich im Sand mit einem Hund hinter ihnen.,,Fünf Kerle begraben sich im Sand mit einem schwarz-weißen Hund hinter ihnen.,,,,,,,,,Five guys bury themselves in the sand with a dog behind them.,Five guys bury themselves in the sand with a black-and-white dog behind them.
168528,entailment,Man on skis attempting to jump over a snow pile,A man is skiing.,Mans skiing to jump over a snow pile.,"Mann auf Skiern versucht, einen Schneehaufen zu überspringen",,Ein Mann fährt Ski.,,,,,,,,,Man on skis tries to jump over a snow pile,A man is skiing.
60134,contradiction,An asian man throwing a dart with a group of other men.,A group of students sit at their desks in a classroom.,The group cannot be throwing darts in a classroom.,Ein asiatischer Mann wirft einen Pfeil in einer Gruppe anderer Männer.,,Eine Gruppe von Schülern sitzt an ihren Schreibtischen im Klassenzimmer.,,,,,,,,,An Asian man throws an arrow among a group of other men.,A group of students is sitting at their desks in the classroom.
